id_match,team_name,home_team?
match280,Rayo Vallecano,False
match281,Girona FC,True
match281,Athletic Club,False
match282,D. Alavés,True
match282,Atlético de Madrid,False
match283,FC Barcelona,True
match283,RCD Espanyol,False
match284,RC Celta,True
match284,Villarreal CF,False
match285,Getafe CF,True
match285,CD Leganés,False
match286,Levante UD,True
match286,SD Eibar,False
match287,Real Madrid,True
match287,SD Huesca,False
match288,Sevilla FC,True
match288,Valencia CF,False
match289,R. Valladolid CF,True
match289,Real Sociedad,False
match290,Rayo Vallecano,True
match290,Real Betis,False
match291,Atlético de Madrid,True
match291,Girona FC,False
match292,RCD Espanyol,True
match292,Getafe CF,False
match293,Villarreal CF,True
match293,FC Barcelona,False
match294,Athletic Club,True
match294,Levante UD,False
match295,SD Eibar,True
match295,Rayo Vallecano,False
match296,SD Huesca,True
match296,RC Celta,False
match297,Valencia CF,True
match297,Real Madrid,False
match298,CD Leganés,True
match298,R. Valladolid CF,False
match299,Sevilla FC,True
match299,D. Alavés,False
match300,Real Sociedad,True
match300,Real Betis,False
match301,FC Barcelona,True
match301,Atlético de Madrid,False
match302,Girona FC,True
match302,RCD Espanyol,False
match303,Real Madrid,True
match303,SD Eibar,False
match304,Rayo Vallecano,True
match304,Valencia CF,False
match305,D. Alavés,True
match305,CD Leganés,False
match306,Real Betis,True
match306,Villarreal CF,False
match307,RC Celta,True
match307,Real Sociedad,False
match308,Getafe CF,True
match308,Athletic Club,False
match309,Levante UD,True
match309,SD Huesca,False
match310,R. Valladolid CF,True
match310,Sevilla FC,False
match311,Atlético de Madrid,True
match311,RC Celta,False
match312,RCD Espanyol,True
match312,D. Alavés,False
match313,SD Huesca,True
match313,FC Barcelona,False
match314,Sevilla FC,True
match314,Real Betis,False
match315,Athletic Club,True
match315,Rayo Vallecano,False
match316,Girona FC,True
match316,Villarreal CF,False
match317,Real Sociedad,True
match317,SD Eibar,False
match318,Valencia CF,True
match318,Levante UD,False
match319,R. Valladolid CF,True
match319,Getafe CF,False
match320,CD Leganés,True
match320,Real Madrid,False
match321,D. Alavés,True
match321,R. Valladolid CF,False
match322,FC Barcelona,True
match322,Real Sociedad,False
match323,RC Celta,True
match323,Girona FC,False
match324,SD Eibar,True
match324,Atlético de Madrid,False
match325,Rayo Vallecano,True
match325,SD Huesca,False
match326,Real Betis,True
match326,Valencia CF,False
match327,Getafe CF,True
match327,Sevilla FC,False
match328,Levante UD,True
match328,RCD Espanyol,False
match329,Real Madrid,True
match329,Athletic Club,False
match330,Villarreal CF,True
match330,CD Leganés,False
match331,D. Alavés,True
match331,FC Barcelona,False
match332,SD Huesca,True
match332,SD Eibar,False
match333,R. Valladolid CF,True
match333,Girona FC,False
match334,Atlético de Madrid,True
match334,Valencia CF,False
match335,RCD Espanyol,True
match335,RC Celta,False
match336,CD Leganés,True
match336,Athletic Club,False
match337,Levante UD,True
match337,Real Betis,False
match338,Getafe CF,True
match338,Real Madrid,False
match339,Sevilla FC,True
match339,Rayo Vallecano,False
match340,Real Sociedad,True
match340,Villarreal CF,False
match341,Athletic Club,True
match341,D. Alavés,False
match342,Atlético de Madrid,True
match342,R. Valladolid CF,False
match343,FC Barcelona,True
match343,Levante UD,False
match344,CD Leganés,True
match344,RC Celta,False
match345,Girona FC,True
match345,Sevilla FC,False
match346,Real Sociedad,True
match346,Getafe CF,False
match347,Valencia CF,True
