match_id,card_type,player_name, minute
match52,Yellow,Joseba Zaldua,89
match52,Yellow,Mikel Merino,81
match52,Yellow,Héctor Moreno,77
match52,Yellow,Gaël Kakuta,62
match52,Yellow,Luis Advíncula,61
match52,Yellow,Igor Zubeldia,15
match53,Yellow,Víctor Ruiz Torre,76
match53,Yellow,Óscar de Marcos,73
match54,Yellow,Youssef En-Nesyri,92
match54,Yellow,Allan Romeo Nyom,88
match54,Yellow,Thomas Vermaelen,64
match54,Yellow,Samuel Umtiti,60
match54,Yellow,Unai Bustinza,49
match54,Yellow,Rubén Pérez del Mármol,40
match55,Yellow,Mariano Díaz Mejía,87
match55,Yellow,Pablo Sarabia,79
match55,Yellow,Éver Banega,74
match55,Yellow,Luka Modrić,65
match55,Yellow,Toni Kroos,64
match55,Yellow,Franco Vázquez,34
match55,Yellow,Gareth Bale,27
match56,Yellow,Fran Beltrán,75
match56,Yellow,Michy Batshuayi,56
match56,Yellow,Hugo Mallo,48
match56,Yellow,Iago Aspas,46
match57,Yellow,Leandro Cabrera,95
match57,Yellow,Darko Brašanac,89
match57,Yellow,Jony Rodríguez,82
match57,Yellow,Manu García Sánchez,82
match57,Yellow,Mauro Arambarri,75
match57,Yellow,Wakaso Mubarak,44
match58,Yellow,Pau López,90
match58,Yellow,Pedro Alcalá Guirado,73
match58,Yellow,Junior Firpo,70
match58,Yellow,Ryad Boudebouz,37
match59,Yellow,José Campaña,96
match59,Yellow,Antonio Jesús Regal Angulo,74
match59,Red,Nikola Vukčević,54
match59,Yellow,Nikola Vukčević,41
match59,Yellow,José Luis Morales Nogales,22
match60,Yellow,Álvaro García Rivera,88
match60,Yellow,Víctor Sánchez Mata,87
match60,Yellow,Marc Roca,83
match60,Yellow,Esteban Granero,79
match60,Yellow,Santiago Comesaña Veiga,64
match60,Yellow,Tiago Manuel Dias Correia,58
match61,Yellow,Lionel Messi,94
match61,Yellow,Peru Nolaskoain,90
match61,Yellow,Dani García,90
match61,Yellow,Sergio Busquets,89
match61,Yellow,Ivan Rakitić,78
match61,Yellow,Yeray Álvarez,48
match62,Yellow,Guilherme Arana,97
match62,Yellow,Franco Vázquez,89
match62,Yellow,Éver Banega,80
match62,Yellow,Fabián Orellana,56
match62,Yellow,Iván Ramis,17
match63,Yellow,Ángel Correa,93
match63,Yellow,Nacho Fernández Iglesias,92
match63,Yellow,Koke Resurrección,70
match63,Yellow,Sergio Ramos,61
match63,Yellow,Thomas Lemar,59
match63,Yellow,Juanfran Torres,48
match63,Yellow,Dani Carvajal,30
match64,Yellow,Sandro Ramírez,94
match64,Yellow,Rúben Vezo,94
match64,Yellow,Neto Murara,92
match64,Yellow,Aritz Elustondo,80
match64,Yellow,Gabriel Paulista,70
match64,Yellow,Igor Zubeldia,63
match64,Yellow,Denís Chéryshev,46
match64,Yellow,Toni Lato,9
